Classe,Precisão,Recall,mAP@0.5,mAP@0.5:0.95
A,0.9858,1.0,0.995,0.7836
Ajuda,0.9861,1.0,0.995,0.8708
B,0.973,1.0,0.995,0.8963
Banheiro,0.9894,1.0,0.995,0.5637
C,0.9798,1.0,0.995,0.8661
Cade,1.0,0.9203,0.995,0.6412
Casa,0.9782,1.0,0.995,0.8994
D,0.743,1.0,0.995,0.951
E,0.97,1.0,0.995,0.9153
Em pe,0.9903,1.0,0.995,0.7775
F,1.0,0.8406,0.995,0.975
I,0.9811,1.0,0.995,0.8132
Febre,0.9808,1.0,0.995,0.786
G,0.9685,1.0,0.995,0.8953
Gosto,1.0,1.0,0.995,0.8042
M,0.9681,1.0,0.995,0.92
L,0.9715,1.0,0.995,0.8763
N,0.9771,1.0,0.995,0.8872
O,0.9775,1.0,0.995,0.8187
Vacina,0.9859,1.0,0.995,0.7743
P,0.9598,1.0,0.995,0.995
Policial,1.0,1.0,0.995,0.6322
Q,0.9748,1.0,0.995,0.8659
S,0.9722,1.0,0.995,0.855
T,0.9731,1.0,0.995,0.963
Te amo,0.979,1.0,0.995,0.7252
Telefone,0.9932,1.0,0.995,0.5286
W,1.0,0.9463,0.995,0.9233
Tenho,0.9861,1.0,0.995,0.7955
U,0.9502,1.0,0.995,0.975
V,0.8695,1.0,0.995,0.9394
Y,0.9694,1.0,0.995,0.935
Voce,0.9873,1.0,0.995,0.7252
R,0.9348,0.6667,0.9125,0.838
Eu,0.8482,0.8571,0.7936,0.4926
